idx,v_inf,b_over_M,eps,ell,M,success,error,alpha_inf,alpha_near_horizon,r_straighten,r_inner,can_escape,n_turning_points
424,1.5,4.25180176265136,0.8944271909999159,5.704390660885121,1.0,True,,0.0843594561881204,1.464165331572324,nan,2.4325132586,True,2
425,1.5,4.293282755457715,0.8944271909999159,5.760043252698634,1.0,True,,0.08518446206069678,1.4558415608926578,nan,2.4079365399,True,2
426,1.5,4.33476374826407,0.8944271909999159,5.815695844512148,1.0,True,,0.08600952605753341,1.439889661528936,nan,2.3867032397,True,2
427,1.5,4.376244741070424,0.8944271909999159,5.871348436325661,1.0,True,,0.08683464875268276,1.5707939418810097,nan,2.3680197968,True,2
428,1.5,4.417725733876779,0.8944271909999159,5.927001028139174,1.0,True,,0.08765983072056156,1.5707933317895755,nan,2.3513547337,True,2
429,1.5,4.459206726683134,0.8944271909999159,5.982653619952688,1.0,True,,0.08848507253595429,1.490283962927044,nan,2.336332185,True,2
430,1.5,4.5006877194894885,0.8944271909999159,6.0383062117662005,1.0,True,,0.08931037477401683,1.5707903726587935,nan,2.3226752149,True,2
431,1.5,4.542168712295844,0.8944271909999159,6.093958803579715,1.0,True,,0.09013573801028053,1.570788218428439,nan,2.3101731414,True,2
432,1.5,4.583649705102198,0.8944271909999159,6.149611395393228,1.0,True,,0.09096116282065542,1.5131248158384454,nan,2.2986615107,True,2
433,1.5,4.625130697908553,0.8944271909999159,6.205263987206741,1.0,True,,0.09178664978143443,1.5707923543044606,nan,2.2880092136,True,2
434,1.5,4.6415888336127775,0.8944271909999159,6.227344893337279,1.0,True,,0.09211419006335313,1.5707887302907388,nan,2.2839966581,True,2
435,1.5,4.666611690714907,0.8944271909999159,6.260916579020254,1.0,True,,0.09261219946929677,1.57079329611147,nan,2.2781098626,True,2
436,1.5,4.708092683521262,0.8944271909999159,6.316569170833768,1.0,True,,0.09343781246131193,1.4970269557849347,nan,2.2688758262,True,2
437,1.5,4.749573676327617,0.8944271909999159,6.372221762647281,1.0,True,,0.09426348933494318,1.4365327651607855,nan,2.2602339861,True,2
438,1.5,4.791054669133972,0.8944271909999159,6.427874354460795,1.0,True,,0.09508923066805149,1.5707873220315862,nan,2.2521226468,True,2
439,1.5,4.832535661940327,0.8944271909999159,6.483526946274308,1.0,True,,0.0959150370388993,1.464465454828186,nan,2.2444892375,True,2
440,1.5,4.874016654746681,0.8944271909999159,6.539179538087821,1.0,True,,0.09674090902615422,1.5707898499118507,nan,2.2372885713,True,2
441,1.5,4.915497647553036,0.8944271909999159,6.594832129901335,1.0,True,,0.09756684720889287,1.5707878616254287,nan,2.2304815074,True,2
442,1.5,4.956978640359391,0.8944271909999159,6.650484721714848,1.0,True,,0.09839285216660461,1.430001373117782,nan,2.2240339057,True,2
443,1.5,4.998459633165746,0.8944271909999159,6.706137313528362,1.0,True,,0.09921892447919527,1.5707910326850398,nan,2.2179158013,True,2
450,1.9999999999999998,0.1,0.5773502691896258,0.11547005383792518,1.0,True,,0.0019896653262655756,0.003154392575996754,nan,2.002002002002002,False,0
451,1.9999999999999998,0.12115276586285886,0.5773502691896258,0.13989516396797855,1.0,True,,0.002410535318201858,0.0038216368167660057,nan,2.002002002002002,False,0
452,1.9999999999999998,0.14677992676220694,0.5773502691896258,0.1694868604555875,1.0,True,,0.0029204315331751635,0.0046300239769678205,nan,2.002002002002002,False,0
453,1.9999999999999998,0.1778279410038923,0.5773502691896258,0.20533801921606823,1.0,True,,0.003538185930372575,0.005609411483765885,nan,2.002002002002002,False,0
454,1.9999999999999998,0.21544346900318834,0.5773502691896258,0.2487726896482752,1.0,True,,0.004286614299970824,0.006795973833754775,nan,2.002002002002002,False,0
444,1.5,5.0399406259721005,0.8944271909999159,6.7617899053418755,1.0,True,,0.10004506472699111,1.4455412826480574,nan,2.2121007448,True,2
455,1.9999999999999998,0.26101572156825364,0.5773502691896258,0.30139499422031135,1.0,True,,0.005193359226574984,0.00823353991583569,nan,2.002002002002002,False,0
456,1.9999999999999998,0.31622776601683794,0.5773502691896258,0.3651483716701108,1.0,True,,0.006291911575225947,0.009975214061796476,nan,2.002002002002002,False,0
457,1.9999999999999998,0.3831186849557287,0.5773502691896258,0.4423873517815308,1.0,True,,0.007622848427840843,0.012085341500294321,nan,2.002002002002002,False,0
458,1.9999999999999998,0.46415888336127786,0.5773502691896258,0.5359645125107798,1.0,True,,0.00923533354952019,0.014641892238232819,nan,2.002002002002002,False,0
445,1.5,5.081421618778455,0.8944271909999159,6.817442497155389,1.0,True,,0.10087127349074254,1.570788558225988,nan,2.2065652687,True,2
459,1.9999999999999998,0.5623413251903491,0.5773502691896258,0.6493358309501979,1.0,True,,0.011188936440308606,0.01773935396592336,nan,2.002002002002002,False,0
460,1.9999999999999998,0.6812920690579611,0.5773502691896258,0.786688318934742,1.0,True,,0.01355583829286809,0.02149224537390267,nan,2.002002002002002,False,0
461,1.9999999999999998,0.8254041852680184,0.5773502691896258,0.9530946571094684,1.0,True,,0.016423508353474395,0.026039387730872967,nan,2.002002002002002,False,0
462,1.9999999999999998,1.0,0.5773502691896258,1.1547005383792517,1.0,True,,0.019897953136878487,0.03154910690183853,nan,2.002002002002002,False,0
463,1.9999999999999998,1.2115276586285881,0.5773502691896258,1.398951639679785,1.0,True,,0.024107664916222984,0.038225583636706216,nan,2.002002002002002,False,0
464,1.9999999999999998,1.467799267622069,0.5773502691896258,1.6948686045558745,1.0,True,,0.029208426749264164,0.04631663254479812,nan,2.002002002002002,False,0
446,1.5,5.623413251903491,0.8944271909999159,7.544600578097613,1.0,True,,0.11167310173132906,1.5175046001479955,nan,2.1526132221,True,2
447,1.5,6.8129206905796105,0.8944271909999159,9.140492273670493,1.0,True,,0.13542761066853007,1.570784573443687,nan,2.0925948275,True,2
448,1.5,8.254041852680182,0.8944271909999159,11.073959203032715,1.0,True,,0.16431157586728107,1.4595461392188862,nan,2.0589822248,True,2
449,1.5,10.0,0.8944271909999159,13.416407864998739,1.0,True,,0.1994940877688821,1.5707738195088332,nan,2.0385407118,True,2
465,1.9999999999999998,1.7782794100389228,0.5773502691896258,2.0533801921606822,1.0,True,,0.03538917187978215,0.056123279087555024,nan,2.002002002002002,False,0
466,1.9999999999999998,2.1544346900318834,0.5773502691896258,2.487726896482752,1.0,True,,0.042879150268718996,0.06801163532939217,nan,2.002002002002002,False,0
467,1.9999999999999998,2.610157215682536,0.5773502691896258,3.0139499422031126,1.0,True,,0.05195673187790752,0.08242777755897016,nan,2.002002002002002,False,0
468,1.9999999999999998,2.6402588895691292,0.5773502691896258,3.048708361246079,1.0,True,,0.05255647274526908,0.08338057344338541,nan,2.002002002002002,False,0
469,1.9999999999999998,2.676180779223131,0.5773502691896258,3.0901873865691547,1.0,True,,0.053272199429388246,0.08451769359576176,nan,2.002002002002002,False,0
471,1.9999999999999998,2.7480245585311347,0.5773502691896258,3.1731454372153065,1.0,True,,0.054703735116558475,0.08679226407295532,nan,2.002002002002002,False,0
470,1.9999999999999998,2.7121026688771326,0.5773502691896258,3.13166641189223,1.0,True,,0.05398795342986679,0.08565492330466173,nan,2.002002002002002,False,0
472,1.9999999999999998,2.7839464481851364,0.5773502691896258,3.2146244625383824,1.0,True,,0.05541954485944525,0.08792971740482115,nan,2.002002002002002,False,0
473,1.9999999999999998,2.819868337839138,0.5773502691896258,3.2561034878614583,1.0,True,,0.056135383028639144,0.08906728480576503,nan,2.002002002002002,False,0
