p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,M_over_R,success,fail_reason,at_boundary
1.979749169679625e+34,0.0,10.0,2,0.7537393280643578,16.934024025814804,0.06572708406435562,True,,False
3.996638937983064e+34,0.0,10.0,2,1.0960536606182483,15.4719722052171,0.10460910858122294,True,,False
4.763938010401321e+34,0.0,10.0,2,1.1926471251047392,15.215575734674747,0.1157462518967891,True,,False
6.7687500094585135e+34,0.0,10.0,2,1.390052350172657,14.821542954020646,0.13849085623659316,True,,False
8.06825584030287e+34,0.0,10.0,2,1.4892635262656364,14.636788240087153,0.15024814700639225,True,,False
1.146362666267422e+35,0.0,10.0,2,1.6826904691002427,14.269275270187405,0.1741348434354322,True,,False
1.9414919457438817e+35,0.0,10.0,2,1.9428614382373701,13.70654985618016,0.20931340343311636,True,,False
2.3142313881085676e+35,0.0,10.0,2,2.017292517152484,13.511769576151334,0.2204651804664748,True,,False
5.678547829591974e+34,0.0,10.0,2,1.29091954539351,15.015416948972579,0.1269536352352638,True,,False
1.3664483492953243e+35,0.0,10.0,2,1.7745822074593227,14.084601583852214,0.18605224609311835,True,,False
9.617248711152945e+34,0.0,10.0,2,1.5871601769280461,14.452459092438673,0.16216695809996196,True,,False
1.6287874214985499e+35,0.0,10.0,2,1.8616230533187765,13.896753969723777,0.19781614792591792,True,,False
3.288131309842434e+35,0.0,10.0,2,2.1359275953946337,13.11680481258096,0.24045944019354318,True,,False
2.758531617629187e+35,0.0,10.0,2,2.0841800585232346,13.315182670258805,0.23113806241290868,True,,False
1.1919860873910918e+33,0.0,20.0,2,0.3837749820422614,42.56825323533294,0.013312946646547488,True,,False
1e+33,0.0,20.0,2,0.3847314096426214,44.42910039069553,0.012787141914014692,True,,False
1.6936105849167396e+33,0.0,20.0,2,0.38158666945689984,39.07688110309653,0.014419714505944752,True,,False
1.4208308325339238e+33,0.0,20.0,2,0.382727661059512,40.782356884157196,0.013858010673881633,True,,False
2.4063341373555167e+33,0.0,20.0,2,0.37901263383253764,35.89984587191566,0.015589940717185547,True,,False
3.41899373573364e+33,0.0,20.0,2,0.3791671270184124,32.23489546947829,0.017369518223952773,True,,False
4.075392965871795e+33,0.0,20.0,2,0.38508871222273366,29.97148778848935,0.018972993056314027,True,,False
2.868316813342021e+33,0.0,20.0,2,0.3777970593419775,34.281974417098944,0.01627331786974333,True,,False
2.018760254679043e+33,0.0,20.0,2,0.3803492416729584,37.45060927064215,0.01499709105203511,True,,False
6.902128664695696e+33,0.0,20.0,2,0.44168206697520124,23.435642265633003,0.02783019615945075,True,,False
8.227241341700525e+33,0.0,20.0,2,0.47527169280242104,21.775503193369772,0.03222976284567244,True,,False
4.857811715970698e+33,0.0,20.0,2,0.39695366648909636,27.638961678327714,0.021208084980582773,True,,False
9.806757216915845e+33,0.0,20.0,2,0.51647167303741,20.340519704741734,0.03749452211262266,True,,False
1.3933743020968605e+34,0.0,20.0,2,0.6207738647491619,18.280627167537197,0.050144775814290374,True,,False
1.1689518164985872e+34,0.0,20.0,2,0.5649276218481472,19.207738782371568,0.04343101008726648,True,,False
5.790443980602518e+33,0.0,20.0,2,0.41564274543156254,25.412336067707823,0.02415232676135773,True,,False
1.660882782627703e+34,0.0,20.0,2,0.6838243294845767,17.524939433222762,0.05761975185071688,True,,False
1.979749169679625e+34,0.0,20.0,2,0.7537809402851987,16.915392403165594,0.06580311243560236,True,,False
3.3529241492495396e+34,0.0,20.0,2,1.0020696558053621,15.718020045928036,0.09414200291820037,True,,False
2.812888660964246e+34,0.0,20.0,2,0.9133502640834178,16.053656853982808,0.08401304852450255,True,,False
4.763938010401321e+34,0.0,20.0,2,1.1926841414956373,15.229647140541823,0.11564289746638132,True,,False
2.359833466782179e+34,0.0,20.0,2,0.830418114661365,16.431349252701065,0.07462888421071029,True,,False
3.996638937983064e+34,0.0,20.0,2,1.0960482369137452,15.462760064581984,0.10467091286428237,True,,False
5.678547829591974e+34,0.0,20.0,2,1.290847555018805,15.018051018852326,0.12692428983281992,True,,False
6.7687500094585135e+34,0.0,20.0,2,1.3901351823932129,14.81821297605483,0.13853023259933092,True,,False
8.06825584030287e+34,0.0,20.0,2,1.48923401371511,14.621382926552549,0.1504034701748755,True,,False
9.617248711152945e+34,0.0,20.0,2,1.5872033724474897,14.460711641497342,0.16207882237783008,True,,False
1.146362666267422e+35,0.0,20.0,2,1.6827060414320196,14.283379090391495,0.17396450759841983,True,,False
1.3664483492953243e+35,0.0,20.0,2,1.774530145520582,14.092550508652188,0.18594184779444986,True,,False
1.6287874214985499e+35,0.0,20.0,2,1.8615872066487564,13.899312515346487,0.19777592612862377,True,,False
1.9414919457438817e+35,0.0,20.0,2,1.942840890844948,13.705085914740721,0.20933354784193026,True,,False
2.3142313881085676e+35,0.0,20.0,2,2.017335383617282,13.509323872243868,0.2205097787134599,True,,False
