idx,r_c,n,rho_0,success,error,r_match,M_match,p_central,rho_central,n_interior_points,overlap_integral,fractional_shift
201,0.464158883361278,3,0.00026826957952797245,False,r_max,,,,,,,
194,0.464158883361278,1,0.0007196856730011522,False,integration_crashed,,,,,,,
195,0.464158883361278,1,0.0019306977288832496,False,integration_crashed,,,,,,,
196,0.464158883361278,1,0.005179474679231213,False,integration_crashed,,,,,,,
197,0.464158883361278,1,0.013894954943731374,False,integration_crashed,,,,,,,
198,0.464158883361278,1,0.03727593720314938,False,integration_crashed,,,,,,,
199,0.464158883361278,1,0.1,False,integration_crashed,,,,,,,
209,0.464158883361278,5,0.00026826957952797245,False,r_max,,,,,,,
208,0.464158883361278,5,0.0001,False,r_max,,,,,,,
203,0.464158883361278,3,0.0019306977288832496,False,integration_crashed,,,,,,,
202,0.464158883361278,3,0.0007196856730011522,False,integration_crashed,,,,,,,
204,0.464158883361278,3,0.005179474679231213,False,integration_crashed,,,,,,,
205,0.464158883361278,3,0.013894954943731374,False,integration_crashed,,,,,,,
206,0.464158883361278,3,0.03727593720314938,False,integration_crashed,,,,,,,
207,0.464158883361278,3,0.1,False,integration_crashed,,,,,,,
216,0.464158883361278,8,0.0001,False,r_max,,,,,,,
217,0.464158883361278,8,0.00026826957952797245,False,r_max,,,,,,,
211,0.464158883361278,5,0.0019306977288832496,False,integration_crashed,,,,,,,
212,0.464158883361278,5,0.005179474679231213,False,integration_crashed,,,,,,,
210,0.464158883361278,5,0.0007196856730011522,False,integration_crashed,,,,,,,
213,0.464158883361278,5,0.013894954943731374,False,integration_crashed,,,,,,,
214,0.464158883361278,5,0.03727593720314938,False,integration_crashed,,,,,,,
215,0.464158883361278,5,0.1,False,integration_crashed,,,,,,,
224,0.8799225435691075,1,0.0001,False,r_max,,,,,,,
225,0.8799225435691075,1,0.00026826957952797245,False,r_max,,,,,,,
219,0.464158883361278,8,0.0019306977288832496,False,integration_crashed,,,,,,,
218,0.464158883361278,8,0.0007196856730011522,False,integration_crashed,,,,,,,
220,0.464158883361278,8,0.005179474679231213,False,integration_crashed,,,,,,,
222,0.464158883361278,8,0.03727593720314938,False,integration_crashed,,,,,,,
223,0.464158883361278,8,0.1,False,integration_crashed,,,,,,,
221,0.464158883361278,8,0.013894954943731374,False,integration_crashed,,,,,,,
232,0.8799225435691075,3,0.0001,False,r_max,,,,,,,
233,0.8799225435691075,3,0.00026826957952797245,False,r_max,,,,,,,
227,0.8799225435691075,1,0.0019306977288832496,False,integration_crashed,,,,,,,
226,0.8799225435691075,1,0.0007196856730011522,False,integration_crashed,,,,,,,
228,0.8799225435691075,1,0.005179474679231213,False,integration_crashed,,,,,,,
229,0.8799225435691075,1,0.013894954943731374,False,integration_crashed,,,,,,,
231,0.8799225435691075,1,0.1,False,integration_crashed,,,,,,,
230,0.8799225435691075,1,0.03727593720314938,False,integration_crashed,,,,,,,
240,0.8799225435691075,5,0.0001,False,r_max,,,,,,,
241,0.8799225435691075,5,0.00026826957952797245,False,r_max,,,,,,,
235,0.8799225435691075,3,0.0019306977288832496,False,integration_crashed,,,,,,,
234,0.8799225435691075,3,0.0007196856730011522,False,integration_crashed,,,,,,,
236,0.8799225435691075,3,0.005179474679231213,False,integration_crashed,,,,,,,
238,0.8799225435691075,3,0.03727593720314938,False,integration_crashed,,,,,,,
239,0.8799225435691075,3,0.1,False,integration_crashed,,,,,,,
237,0.8799225435691075,3,0.013894954943731374,False,integration_crashed,,,,,,,
248,0.8799225435691075,8,0.0001,False,r_max,,,,,,,
249,0.8799225435691075,8,0.00026826957952797245,False,r_max,,,,,,,
243,0.8799225435691075,5,0.0019306977288832496,False,integration_crashed,,,,,,,
242,0.8799225435691075,5,0.0007196856730011522,False,integration_crashed,,,,,,,
244,0.8799225435691075,5,0.005179474679231213,False,integration_crashed,,,,,,,
245,0.8799225435691075,5,0.013894954943731374,False,integration_crashed,,,,,,,
247,0.8799225435691075,5,0.1,False,integration_crashed,,,,,,,
246,0.8799225435691075,5,0.03727593720314938,False,integration_crashed,,,,,,,
257,1.6681005372000592,1,0.00026826957952797245,False,r_max,,,,,,,
256,1.6681005372000592,1,0.0001,False,r_max,,,,,,,
251,0.8799225435691075,8,0.0019306977288832496,False,integration_crashed,,,,,,,
